Year,Country,Month,Tourist_Arrival,Date,Quarter,Season,Region
2018,Barbados,2,2,2018-02-01,1,Maha Season,Caribbean
2018,BURUNDI ,2,0,2018-02-01,1,Maha Season,
2018,Rwanda,2,3,2018-02-01,1,Maha Season,Africa
2018,Mali,2,1,2018-02-01,1,Maha Season,Africa
2018,South Sudan,2,1,2018-02-01,1,Maha Season,Africa
2018,Vanuatu,2,1,2018-02-01,1,Maha Season,Oceania
2018,Belize,2,1,2018-02-01,1,Maha Season,Central America
2018,Eswatini,2,1,2018-02-01,1,Maha Season,Africa
2018,Grenada,2,1,2018-02-01,1,Maha Season,Caribbean
2018,SOLOMAN ISLANDS,2,0,2018-02-01,1,Maha Season,
2018,Liberia,2,0,2018-02-01,1,Maha Season,Africa
2018,Benin,2,0,2018-02-01,1,Maha Season,Africa
2018,GUINEA- BISSAU,2,0,2018-02-01,1,Maha Season,
2018,Haiti,2,1,2018-02-01,1,Maha Season,Caribbean
2018,Togo,2,0,2018-02-01,1,Maha Season,Africa
2018,Tonga,2,0,2018-02-01,1,Maha Season,Oceania
2018,Angola,2,1,2018-02-01,1,Maha Season,Africa
2018,Djibouti,2,1,2018-02-01,1,Maha Season,Africa
2018,Gambia,2,1,2018-02-01,1,Maha Season,Africa
2018,Congo,2,1,2018-02-01,1,Maha Season,Africa
2018,Lesotho,2,0,2018-02-01,1,Maha Season,Africa
2018,Saint Lucia,2,2,2018-02-01,1,Maha Season,Caribbean
2018,Tuvalu,2,0,2018-02-01,1,Maha Season,Oceania
2018,Cape Verde,2,0,2018-02-01,1,Maha Season,Africa
2018,Gabon,2,2,2018-02-01,1,Maha Season,Africa
2018,Niger,2,0,2018-02-01,1,Maha Season,Africa
2018,Palau,2,0,2018-02-01,1,Maha Season,Oceania
2018,Chad,2,0,2018-02-01,1,Maha Season,Africa
2018,Marshall Islands,2,1,2018-02-01,1,Maha Season,Oceania
2018,Samoa,2,0,2018-02-01,1,Maha Season,Oceania
2018,Kiribati,2,0,2018-02-01,1,Maha Season,Oceania
2018,Mauritania,2,1,2018-02-01,1,Maha Season,Africa
2018,Micronesia,2,1,2018-02-01,1,Maha Season,Oceania
2018,Saint Vincent and the Grenadines,2,0,2018-02-01,1,Maha Season,Caribbean
2018,North Korea,2,2,2018-02-01,1,Maha Season,Asia
2018,Central African Republic,2,0,2018-02-01,1,Maha Season,Africa
2018,Niger,2,0,2018-02-01,1,Maha Season,Africa
2018,Nauru,2,1,2018-02-01,1,Maha Season,Oceania
2018,Netherlands Antilles,2,0,2018-02-01,1,Maha Season,Caribbean
2018,São Tomé and Príncipe,2,0,2018-02-01,1,Maha Season,Africa
2018,Vatican City,2,0,2018-02-01,1,Maha Season,Europe
